id;reference;email;live_on;disbursement_frequency;minimum_monthly_fee
483695a8-c3c1-440a-8e05-fe2bb79b1150;thiel_macgyver;info@thiel-macgyver.com;2022-10-16;DAILY;30.0
5314c050-205a-4f82-a0c4-f56e104872e2;purdy_schmeler_and_frami;info@purdy-schmeler-and-frami.com;2023-01-03;DAILY;30.0
ee90f548-1778-4a1a-b610-904b7db7b5f6;cartwright_and_sons;info@cartwright-and-sons.com;2022-10-13;DAILY;0.0
34118ad3-cb2c-4935-9ced-d364c816a971;cummerata_schowalter_and_rogahn;info@cummerata-schowalter-and-rogahn.com;2022-10-03;DAILY;15.0
276a7500-29c5-43f7-9ff8-b7a3239eba0e;renner_collins;info@renner-collins.com;2022-12-05;DAILY;30.0
5c417331-f19c-4b03-ad2b-baa28e132ec5;daniel_wintheiser_and_hirthe;info@daniel-wintheiser-and-hirthe.com;2022-11-21;DAILY;0.0
ec47f5f7-b5a3-4e51-bb4c-8250e6ffe165;herzog_muller;info@herzog-muller.com;2022-10-02;WEEKLY;30.0
b2f725ab-a6bd-43af-a07e-c6f38ff19920;wiegand_christiansen_and_koss;info@wiegand-christiansen-and-koss.com;2022-11-25;DAILY;0.0
afc61254-f870-4c43-9c2a-02e36e433b69;kulas_gislason;info@kulas-gislason.com;2022-10-21;DAILY;30.0
bc158d8f-ab1d-43d2-970b-f13e7abb31af;witting_llc;info@witting-llc.com;2023-01-14;DAILY;15.0
7ee0bea0-3f0a-4525-85ac-f717974c21ef;king_jacobson_and_howe;info@king-jacobson-and-howe.com;2022-11-30;DAILY;15.0
591d7559-3f37-463a-9b6e-d4039b530eda;brakus_llc;info@brakus-llc.com;2022-12-31;DAILY;30.0
df54200f-9508-437e-a8d7-bf42b37ef553;weissnat_llc;info@weissnat-llc.com;2022-10-11;DAILY;15.0
63c6c211-6851-432c-b3b4-32ca7df71bb2;hoeger_fisher_and_gleichner;info@hoeger-fisher-and-gleichner.com;2023-01-08;WEEKLY;15.0
15315f9e-6417-4edc-8886-3f64561991d4;hand_doyle;info@hand-doyle.com;2022-10-23;DAILY;15.0
00958790-4e1b-4964-a383-31642b35c02c;bins_inc;info@bins-inc.com;2022-09-04;DAILY;0.0
ddf06f65-3173-420d-a8e2-304f70f6c039;schulist_llc;info@schulist-llc.com;2022-12-23;DAILY;30.0
b4e25ce7-04de-47b3-843c-1f0dd2f71f0d;ruecker_hyatt;info@ruecker-hyatt.com;2022-10-10;DAILY;30.0
4e3c6594-96cc-4433-b98a-408dd908d2be;legros_and_sons;info@legros-and-sons.com;2022-10-14;DAILY;0.0
f495e58a-3bf8-44fb-bbed-8149d42ec519;grady_group;info@grady-group.com;2022-12-16;DAILY;30.0
9332a4b0-f457-427e-8087-63dfb5ffc719;marquardt_hettinger_and_harvey;info@marquardt-hettinger-and-harvey.com;2023-01-11;DAILY;0.0
77495f40-a410-454e-94a4-71ac23d1b45d;vandervort_kuhlman;info@vandervort-kuhlman.com;2022-12-28;WEEKLY;0.0
783b48bf-22d8-41f2-ad21-506cc7a130a9;rosenbaum_cronin_and_stehr;info@rosenbaum-cronin-and-stehr.com;2022-11-27;DAILY;30.0
68b63f94-09a8-40eb-b1a6-e7754142ded3;hane_robel;info@hane-robel.com;2022-10-06;DAILY;0.0
3b9b60a2-8314-42b4-9ebe-e70aa3ea6d29;stark_mohr_and_krajcik;info@stark-mohr-and-krajcik.com;2022-09-08;DAILY;30.0
e8b8537a-0b19-4a1a-9e05-46c6936d2661;hilpert_senger;info@hilpert-senger.com;2022-09-19;WEEKLY;30.0
617e24c9-00a4-4791-ac2c-39693e30039a;dare_inc;info@dare-inc.com;2022-09-29;DAILY;30.0
ec759a73-dda3-4682-8cc9-df215a6619bb;wisoky_llc;info@wisoky-llc.com;2022-11-03;DAILY;30.0
bea7bc65-8b6a-4486-b6bd-34209794817f;cormier_weissnat_and_hauck;info@cormier-weissnat-and-hauck.com;2022-09-30;DAILY;30.0
